COSING Ref No,INCI name,INN name,Ph. Eur. Name,CAS No,EC No,Chem/IUPAC Name / Description,Restriction,Function,Update Date
94753,  DISODIUM TETRAMETHYLHEXADECENYLCYSTEINE FORMYLPROLINATE,,," 2040469-40-5, 2422121-34-2", ,Disodium Tetramethylhexadecenylcysteine Formylprolinate is the organic compound that conforms to the formula:(,,SKIN PROTECTING,16/06/2020
99268, (ANGELICA ACUTILOBA/PAEONIA LACTIFLORA) ROOT/CNIDIUM OFFICINALE RHIZOME EXTRACT,,, , ,(Angelica Acutiloba/Paeonia Lactiflora) Root/Cnidium Officinale Rhizome Extract is the extract of the roots of Angelica acutiloba and Paeonia lactiflora and the rhizomes of Cnidium officinale. ,,SKIN CONDITIONING - EMOLLIENT,19/03/2021
99270, (ARCTIUM LAPPA/RAPHANUS SATIVUS/MALVA VERTICILLATA) SEED OIL ,,, , ,"(Arctium Lappa/Raphanus Sativus/Malva Verticillata) Seed Oil is the volatile oil expressed from the seeds of Arctium lappa, Raphanus sativus, and Malva verticillata. ",,SKIN CONDITIONING - EMOLLIENT,19/03/2021
94896, (LIQUIDAMBAR STYRACIFLUA/TRIBULUS TERRESTRIS) FRUIT/PAEONIA LACTIFLORA ROOT EXTRACT ,,, , ," (Liquidambar Styraciflua/Tribulus Terrestris) Fruit/Paeonia Lactiflora Root Extract is the extract of the fruit of  Liquidambar styraciflua  and  Tribulus terrestris  , and the roots of  Paeonia lactiflora. ",,SKIN CONDITIONING,01/12/2017
95645, ACRYLATES/VA/VINYL NEODECANOATE COPOLYMER,,, 99728-55-9   , ," Acrylates/VA/Vinyl Neodecanoate Copolymer is a copolymer of Vinyl Acetate, vinyl neodecanoate and one or more monomers consisting of acrylic acid, methacrylic acid or one of their simple esters. ",,PLASTICISER,14/02/2018
96229, ASTROCARYUM VULGARE SEED BUTTER ,,, 2187449-53-0 , ,"Astrocaryum Vulgare Seed Butter is the fat obtained from the seeds of  Astrocaryum vulgare, Palmae ",,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",06/04/2018
89177, BARLEY SH-POLYPEPTIDE-17 ,,, , ,"Barley sh-Polypeptide-17 is a single chain recombinant human peptide, produced by barley plants after using either a transient expression system or transgenesis (stable insertion of a copy of a human gene into its DNA). The starting gene is synthesized to be identical to a human gene which codes for Interleukin 1 Alpha. It contains a maximum of 272 amino acids, which may contain disulfide bonds and/or glycosylation. The protein consists of the proper sequence of the 20 standard amino acids. ",,"HAIR CONDITIONING, SKIN CONDITIONING",09/03/2018
100088, CITRULLUS LANATUS SEED POWDER,,, 90244-99-8, 290-802-9,"Citrullus Lanatus Seed Powder is the powder obtained from the dried, ground seeds of Citrullus lanatus. ",,"ABRASIVE, EXFOLIATING",23/09/2021
98580, DAUCUS CAROTA SATIVA LEAF EXTRACT ,,, , ,Daucus Carota Sativa (Carrot) Leaf Extract is the extract of the leaves of Daucus carota sativa. ,,SKIN CONDITIONING - MISCELLANEOUS,18/09/2020
89078, GOSSYPIUM HIRSUTUM SEED EXTRACT,,, 8001-29-4 , 232-280-7 ," Gossypium Hirsutum Seed Extract is the extract of the seeds of Gossypium hirsutum, Malvaceae.
",,SKIN CONDITIONING,04/07/2012
96248, HYDROLYZED (CITRUS AURANTIUM AMARA /FORSYTHIA VIRIDISSIMA/GARDENIA FLORIDA) FRUIT/MENTHA ARVENSIS LEAF/(ANGELICA ACUTILOBA/COPTIS JAPONICA/GLYCYRRHIZA GLABRA /PAEONIA LACTIFLORA/PLATYCODON GRANDIFLORUS/REHMANNIA GLUTINOSA/SCUTELLARIA BAICALENSIS ROOT) EXTRACT,,, , ," Hydrolyzed (Citrus Aurantium Amara (Bitter Orange)/Forsythia Viridissima/Gardenia Florida) Fruit/Mentha Arvensis Leaf/(Angelica Acutiloba/Coptis Japonica/Glycyrrhiza Glabra (Licorice)/Paeonia Lactiflora/Platycodon Grandiflorus/Rehmannia Glutinosa/Scutellaria Baicalensis Root) Extract is the hydrolysate of an extract of the fruit of Citrus aurantium amara and Forsythia viridissima/Gardenia florida ; the leaves of Mentha arvensis ; and the roots of Angelica acutiloba , Coptis japonica , Glycyrrhiza glabra , Paeonia lactiflora , Platycodon grandiflorus , Rehmannia glutinosa , and Scutellaria baicalensis obtained by acid, enzyme or other method of hydrolysis.",,SKIN CONDITIONING,08/06/2018
98578, HYDROLYZED BEE LARVA EXTRACT,,, , ,"Hydrolyzed Bee Larva/Pupa Extract is the hydrolysate of the extract of bee larva and pupa derived by acid, enzyme or other method of hydrolysis. ",,SKIN CONDITIONING - EMOLLIENT,18/09/2020
96252, HYDROLYZED FORSYTHIA VIRIDISSIMA FRUIT/(CIMICIFUGA DAHURICA/GLYCYRRHIZA GLABRA /PAEONIA LACTIFLORA/PLATYCODON GRANDIFLORUS/PUERARIA LOBATA) ROOT EXTRACT ,,, , ,"Hydrolyzed Forsythia Viridissima Fruit/(Cimicifuga Dahurica/Glycyrrhiza Glabra (Licorice)/Paeonia Lactiflora/Platycodon Grandiflorus/Pueraria Lobata) Root Extract is the hydrolysate of an extract of the fruit of Forsythia viridissima and the roots of Cimicifuga dahurica , Glycyrrhiza glabra , Paeonia lactiflora , Platycodon grandiflorus , and Pueraria lobata derived by acid, enzyme, or other method of hydrolysis.",,SKIN PROTECTING,08/06/2018
